split,query_id,user_query,query_audio_category,user_query_len_chars,user_query_len_words
train,104__aggressive_intense__tpl_20,нужна сильная и напористая музыка,aggressive_intense,33,5
train,104__aggressive_intense__tpl_3,хочу heavy rock настроение,aggressive_intense,26,4
train,104__aggressive_intense__tpl_0,хочу жесткую интенсивную музыку,aggressive_intense,31,4
train,104__calm_relaxing__tpl_23,нужен расслабленный музыкальный фон,calm_relaxing,35,4
train,104__calm_relaxing__tpl_8,нужна музыка для спокойной атмосферы,calm_relaxing,36,5
train,104__calm_relaxing__tpl_7,подбери relaxing music,calm_relaxing,22,3
train,104__dark_tense__tpl_7,подбери драматичный cinematic трек,dark_tense,34,4
train,104__dark_tense__tpl_4,подбери suspense soundtrack,dark_tense,27,3
train,104__dark_tense__tpl_23,нужен драматичный темный саундтрек,dark_tense,34,4
train,104__dreamy_atmospheric__tpl_3,хочу dreamy background music,dreamy_atmospheric,28,4
train,104__dreamy_atmospheric__tpl_21,хочу dreamy ambient музыку,dreamy_atmospheric,26,4
train,104__dreamy_atmospheric__tpl_23,нужен фон с ощущением пространства,dreamy_atmospheric,34,5
train,104__energetic_electronic__tpl_28,подбери электронный трек с драйвом,energetic_electronic,34,5
train,104__energetic_electronic__tpl_17,"нужна музыка, которая добавляет движение",energetic_electronic,40,5
train,104__energetic_electronic__tpl_2,нужна музыка для активного видео,energetic_electronic,32,5
train,104__happy_upbeat__tpl_18,хочу трек с легкой праздничной атмосферой,happy_upbeat,41,6
train,104__happy_upbeat__tpl_13,подбери музыку для веселого ролика,happy_upbeat,34,5
train,104__happy_upbeat__tpl_1,подбери радостный и бодрый трек,happy_upbeat,31,5
train,104__romantic_warm__tpl_0,хочу теплую романтичную музыку,romantic_warm,30,4
train,104__romantic_warm__tpl_2,нужна музыка для нежного видео,romantic_warm,30,5
train,104__romantic_warm__tpl_6,хочу теплую акустическую музыку,romantic_warm,31,4
train,104__sad_melancholic__tpl_7,подбери музыку для печальной сцены,sad_melancholic,34,5
train,104__sad_melancholic__tpl_16,подбери трек для sadness mood,sad_melancholic,29,5
train,104__sad_melancholic__tpl_19,подбери грустную музыку для видео,sad_melancholic,33,5
train,106__aggressive_intense__tpl_0,хочу жесткую интенсивную музыку,aggressive_intense,31,4
train,106__aggressive_intense__tpl_17,нужен мощный трек для спортивного видео,aggressive_intense,39,6
train,106__aggressive_intense__tpl_6,хочу интенсивный трек для динамики,aggressive_intense,34,5
train,106__calm_relaxing__tpl_22,подбери музыку для тихой сцены,calm_relaxing,30,5
train,106__calm_relaxing__tpl_20,"нужна музыка, которая не отвлекает",calm_relaxing,34,5
train,106__calm_relaxing__tpl_17,нужна спокойная акустическая музыка,calm_relaxing,35,4
train,106__dark_tense__tpl_13,подбери музыку для mystery mood,dark_tense,31,5
train,106__dark_tense__tpl_7,подбери драматичный cinematic трек,dark_tense,34,4
train,106__dark_tense__tpl_14,нужен мрачный фон без веселья,dark_tense,29,5
train,106__dreamy_atmospheric__tpl_18,хочу музыку для созерцательной сцены,dreamy_atmospheric,36,5
train,106__dreamy_atmospheric__tpl_8,нужна музыка с ощущением глубины,dreamy_atmospheric,32,5
train,106__dreamy_atmospheric__tpl_25,подбери атмосферный трек без агрессии,dreamy_atmospheric,37,5
train,106__energetic_electronic__tpl_27,"хочу музыку, которая звучит современно и активно",energetic_electronic,48,7
train,106__energetic_electronic__tpl_0,хочу энергичную электронную музыку,energetic_electronic,34,4
train,106__energetic_electronic__tpl_24,хочу трек для спортивной нарезки,energetic_electronic,32,5
train,106__happy_upbeat__tpl_25,"подбери трек, который звучит позитивно",happy_upbeat,38,5
train,106__happy_upbeat__tpl_5,нужен веселый трек без мрачной атмосферы,happy_upbeat,40,6
train,106__happy_upbeat__tpl_22,подбери музыку для радостного настроения,happy_upbeat,40,5
train,106__romantic_warm__tpl_13,подбери warm acoustic трек,romantic_warm,26,4
train,106__romantic_warm__tpl_10,подбери мягкую музыку для пары,romantic_warm,30,5
train,106__romantic_warm__tpl_8,нужна музыка для трогательного момента,romantic_warm,38,5
train,106__sad_melancholic__tpl_4,подбери melancholic soundtrack,sad_melancholic,30,3
train,106__sad_melancholic__tpl_6,хочу трек с ощущением грусти,sad_melancholic,28,5
train,106__sad_melancholic__tpl_24,хочу музыку для сентиментального видео,sad_melancholic,38,5
train,108__aggressive_intense__tpl_10,подбери hard rock или metal вайб,aggressive_intense,32,6
train,108__aggressive_intense__tpl_3,хочу heavy rock настроение,aggressive_intense,26,4
train,108__aggressive_intense__tpl_2,нужна роковая энергичная музыка,aggressive_intense,31,4
train,108__calm_relaxing__tpl_12,хочу calm ambient background,calm_relaxing,28,4
train,108__calm_relaxing__tpl_3,хочу ненавязчивую расслабленную музыку,calm_relaxing,38,4
train,108__calm_relaxing__tpl_11,нужна тихая и мягкая музыка,calm_relaxing,27,5
train,108__dark_tense__tpl_27,хочу тревожное атмосферное звучание,dark_tense,35,4
train,108__dark_tense__tpl_11,нужна напряженная музыка для видео,dark_tense,34,5
train,108__dark_tense__tpl_19,подбери напряженный trailer-like трек,dark_tense,37,5
train,108__dreamy_atmospheric__tpl_8,нужна музыка с ощущением глубины,dreamy_atmospheric,32,5
train,108__dreamy_atmospheric__tpl_25,подбери атмосферный трек без агрессии,dreamy_atmospheric,37,5
train,108__dreamy_atmospheric__tpl_1,подбери ambient трек,dreamy_atmospheric,20,3
train,108__energetic_electronic__tpl_23,нужна динамичная современная музыка,energetic_electronic,35,4
train,108__energetic_electronic__tpl_14,нужна музыка для монтажа с быстрыми кадрами,energetic_electronic,43,7
train,108__energetic_electronic__tpl_17,"нужна музыка, которая добавляет движение",energetic_electronic,40,5
train,108__happy_upbeat__tpl_3,хочу что-то светлое и жизнерадостное,happy_upbeat,36,6
train,108__happy_upbeat__tpl_29,нужна бодрая и светлая музыка,happy_upbeat,29,5
train,108__happy_upbeat__tpl_12,хочу бодрую позитивную композицию,happy_upbeat,33,4
train,108__romantic_warm__tpl_2,нужна музыка для нежного видео,romantic_warm,30,5
train,108__romantic_warm__tpl_17,нужна мягкая эмоциональная музыка,romantic_warm,33,4
train,108__romantic_warm__tpl_9,хочу gentle romantic music,romantic_warm,26,4
train,108__sad_melancholic__tpl_26,"нужна грустная, но мягкая музыка",sad_melancholic,32,5
train,108__sad_melancholic__tpl_20,нужен трек для трогательной сцены,sad_melancholic,33,5
train,108__sad_melancholic__tpl_19,подбери грустную музыку для видео,sad_melancholic,33,5
train,111__aggressive_intense__tpl_28,подбери жесткую музыку для видео,aggressive_intense,32,5
train,111__aggressive_intense__tpl_27,хочу мощный intense rock трек,aggressive_intense,29,5
train,111__aggressive_intense__tpl_11,нужна музыка для экстремального ролика,aggressive_intense,38,5
train,111__calm_relaxing__tpl_18,хочу трек без агрессии и драматизма,calm_relaxing,35,6
train,111__calm_relaxing__tpl_6,хочу мягкую и спокойную композицию,calm_relaxing,34,5
train,111__calm_relaxing__tpl_22,подбери музыку для тихой сцены,calm_relaxing,30,5
train,111__dark_tense__tpl_2,нужна драматичная музыка,dark_tense,24,3
train,111__dark_tense__tpl_1,подбери тревожный кинематографичный трек,dark_tense,40,4
train,111__dark_tense__tpl_21,хочу трек с мрачным настроением,dark_tense,31,5
train,111__dreamy_atmospheric__tpl_7,подбери атмосферную музыку для красивого видео,dreamy_atmospheric,46,6
train,111__dreamy_atmospheric__tpl_24,хочу музыку для вдохновляющей атмосферы,dreamy_atmospheric,39,5
train,111__dreamy_atmospheric__tpl_9,хочу мягкий dreamy soundtrack,dreamy_atmospheric,29,4
train,111__energetic_electronic__tpl_2,нужна музыка для активного видео,energetic_electronic,32,5
train,111__energetic_electronic__tpl_27,"хочу музыку, которая звучит современно и активно",energetic_electronic,48,7
train,111__energetic_electronic__tpl_7,подбери трек для спортивного ролика,energetic_electronic,35,5
train,111__happy_upbeat__tpl_27,"хочу что-то легкое, доброе и позитивное",happy_upbeat,39,7
train,111__happy_upbeat__tpl_3,хочу что-то светлое и жизнерадостное,happy_upbeat,36,6
train,111__happy_upbeat__tpl_12,хочу бодрую позитивную композицию,happy_upbeat,33,4
train,111__romantic_warm__tpl_8,нужна музыка для трогательного момента,romantic_warm,38,5
train,111__romantic_warm__tpl_14,нужен романтический фон без драматизма,romantic_warm,38,5
train,111__romantic_warm__tpl_20,нужен теплый музыкальный фон,romantic_warm,28,4
train,111__sad_melancholic__tpl_26,"нужна грустная, но мягкая музыка",sad_melancholic,32,5
train,111__sad_melancholic__tpl_11,нужна музыка для драматичного момента,sad_melancholic,37,5
train,111__sad_melancholic__tpl_5,нужна медленная эмоциональная музыка,sad_melancholic,36,4
train,112__aggressive_intense__tpl_11,нужна музыка для экстремального ролика,aggressive_intense,38,5
train,112__aggressive_intense__tpl_6,хочу интенсивный трек для динамики,aggressive_intense,34,5
train,112__aggressive_intense__tpl_21,хочу aggressive soundtrack,aggressive_intense,26,3
train,112__calm_relaxing__tpl_8,нужна музыка для спокойной атмосферы,calm_relaxing,36,5
train,112__calm_relaxing__tpl_22,подбери музыку для тихой сцены,calm_relaxing,30,5
train,112__calm_relaxing__tpl_29,нужен нейтральный расслабляющий фон,calm_relaxing,35,4
train,112__dark_tense__tpl_21,хочу трек с мрачным настроением,dark_tense,31,5
train,112__dark_tense__tpl_20,нужна музыка с suspense эффектом,dark_tense,32,5
train,112__dark_tense__tpl_2,нужна драматичная музыка,dark_tense,24,3
train,112__dreamy_atmospheric__tpl_19,подбери deep atmospheric трек,dreamy_atmospheric,29,4
train,112__dreamy_atmospheric__tpl_20,нужна музыка с мягкой кинематографичностью,dreamy_atmospheric,42,5
train,112__dreamy_atmospheric__tpl_5,нужен трек для мечтательного настроения,dreamy_atmospheric,39,5
train,112__energetic_electronic__tpl_17,"нужна музыка, которая добавляет движение",energetic_electronic,40,5
train,112__energetic_electronic__tpl_23,нужна динамичная современная музыка,energetic_electronic,35,4
train,112__energetic_electronic__tpl_7,подбери трек для спортивного ролика,energetic_electronic,35,5
train,112__happy_upbeat__tpl_5,нужен веселый трек без мрачной атмосферы,happy_upbeat,40,6
train,112__happy_upbeat__tpl_14,нужен uplifting трек,happy_upbeat,20,3
train,112__happy_upbeat__tpl_12,хочу бодрую позитивную композицию,happy_upbeat,33,4
train,112__romantic_warm__tpl_8,нужна музыка для трогательного момента,romantic_warm,38,5
train,112__romantic_warm__tpl_29,нужна нежная музыка без резкости,romantic_warm,32,5
train,112__romantic_warm__tpl_20,нужен теплый музыкальный фон,romantic_warm,28,4
train,112__sad_melancholic__tpl_22,подбери тихую меланхоличную композицию,sad_melancholic,38,4
train,112__sad_melancholic__tpl_17,нужна эмоциональная музыка без радости,sad_melancholic,38,5
train,112__sad_melancholic__tpl_7,подбери музыку для печальной сцены,sad_melancholic,34,5
train,113__aggressive_intense__tpl_21,хочу aggressive soundtrack,aggressive_intense,26,3
train,113__aggressive_intense__tpl_10,подбери hard rock или metal вайб,aggressive_intense,32,6
train,113__aggressive_intense__tpl_26,нужна музыка с максимальным драйвом,aggressive_intense,35,5
train,113__calm_relaxing__tpl_24,хочу плавную спокойную музыку,calm_relaxing,29,4
train,113__calm_relaxing__tpl_1,подбери мягкий фоновый трек,calm_relaxing,27,4
train,113__calm_relaxing__tpl_7,подбери relaxing music,calm_relaxing,22,3
train,113__dark_tense__tpl_26,нужен dark tense background,dark_tense,27,4
