query_audio_category,query_template_id,user_query
happy_upbeat,0,хочу веселую позитивную музыку
happy_upbeat,1,подбери радостный и бодрый трек
happy_upbeat,2,нужна upbeat музыка для видео
happy_upbeat,3,хочу что-то светлое и жизнерадостное
happy_upbeat,4,подбери музыку с позитивным настроением
happy_upbeat,5,нужен веселый трек без мрачной атмосферы
happy_upbeat,6,хочу легкую радостную музыку
happy_upbeat,7,подбери позитивную музыку для приятного видео
happy_upbeat,8,нужен трек с хорошим настроением
happy_upbeat,9,"хочу музыку, которая звучит радостно и тепло"
happy_upbeat,10,подбери яркий и дружелюбный трек
happy_upbeat,11,нужна музыка для счастливого момента
happy_upbeat,12,хочу бодрую позитивную композицию
happy_upbeat,13,подбери музыку для веселого ролика
happy_upbeat,14,нужен uplifting трек
happy_upbeat,15,хочу солнечную и приятную музыку
happy_upbeat,16,подбери что-то радостное и ненавязчивое
happy_upbeat,17,нужна позитивная музыка для короткого видео
happy_upbeat,18,хочу трек с легкой праздничной атмосферой
happy_upbeat,19,"подбери музыку, которая создает хорошее настроение"
happy_upbeat,20,нужна cheerful музыка
happy_upbeat,21,хочу приятный бодрый поп-трек
happy_upbeat,22,подбери музыку для радостного настроения
happy_upbeat,23,нужен оптимистичный музыкальный фон
happy_upbeat,24,хочу веселую музыку для яркого видео
happy_upbeat,25,"подбери трек, который звучит позитивно"
happy_upbeat,26,нужна музыка с ощущением радости
happy_upbeat,27,"хочу что-то легкое, доброе и позитивное"
happy_upbeat,28,подбери трек для happy mood
happy_upbeat,29,нужна бодрая и светлая музыка
energetic_electronic,0,хочу энергичную электронную музыку
energetic_electronic,1,подбери динамичный электронный трек
energetic_electronic,2,нужна музыка для активного видео
energetic_electronic,3,хочу быстрый электронный трек
energetic_electronic,4,подбери музыку с сильной энергией
energetic_electronic,5,нужна динамичная музыка с битом
energetic_electronic,6,хочу электронную музыку для движения
energetic_electronic,7,подбери трек для спортивного ролика
energetic_electronic,8,нужна энергичная музыка для action видео
energetic_electronic,9,хочу музыку с плотным электронным звучанием
energetic_electronic,10,подбери что-то танцевальное и энергичное
energetic_electronic,11,нужен трек с драйвом
energetic_electronic,12,хочу музыку с быстрым темпом
energetic_electronic,13,подбери электронный трек для динамичной сцены
energetic_electronic,14,нужна музыка для монтажа с быстрыми кадрами
energetic_electronic,15,хочу клубный электронный вайб
energetic_electronic,16,подбери энергичный dance трек
energetic_electronic,17,"нужна музыка, которая добавляет движение"
energetic_electronic,18,хочу что-то мощное и электронное
energetic_electronic,19,подбери трек для активного городского видео
energetic_electronic,20,нужна музыка с выраженным ритмом
energetic_electronic,21,хочу электронный фон с энергией
energetic_electronic,22,подбери трек для бодрого видео
energetic_electronic,23,нужна динамичная современная музыка
energetic_electronic,24,хочу трек для спортивной нарезки
energetic_electronic,25,подбери музыку для быстрого темпа
energetic_electronic,26,нужен energetic electronic soundtrack
energetic_electronic,27,"хочу музыку, которая звучит современно и активно"
energetic_electronic,28,подбери электронный трек с драйвом
energetic_electronic,29,нужна музыка для видео с движением
calm_relaxing,0,хочу спокойную расслабляющую музыку
calm_relaxing,1,подбери мягкий фоновый трек
calm_relaxing,2,нужна спокойная музыка без резкой динамики
